query_index,embedding_ms,retrieval_flat_ms,retrieval_quantized_ms,rerank_ms,vector_only_total_ms,vector_rerank_total_ms
0,17.35,88.07,7.15,2453.71,105.42,2559.13
1,15.79,87.91,8.00,2269.20,103.70,2372.90
2,20.52,88.77,7.99,2127.58,109.29,2236.87
3,23.98,88.58,6.99,2115.02,112.56,2227.58
4,20.47,90.98,7.16,2241.61,111.45,2353.06
5,20.41,91.81,6.87,2003.41,112.22,2115.63
6,17.01,94.06,6.93,2384.50,111.07,2495.57
7,16.29,91.00,7.34,2262.34,107.29,2369.63
8,15.84,91.63,7.21,2413.55,107.47,2521.02
9,17.16,88.94,6.99,2219.71,106.09,2325.80
10,18.10,87.21,8.16,2326.03,105.31,2431.35
11,22.23,90.31,7.38,2361.67,112.54,2474.22
12,15.87,88.68,7.02,2312.46,104.55,2417.02
13,20.60,89.79,7.19,2407.06,110.39,2517.46
14,16.54,88.27,7.90,2389.18,104.81,2493.99
15,18.15,90.44,7.72,2310.00,108.59,2418.59
16,18.18,91.67,8.25,2402.64,109.85,2512.49
17,22.57,88.44,6.99,2575.78,111.00,2686.79
18,18.23,87.15,7.84,2403.18,105.38,2508.56
19,19.33,92.11,6.87,2311.60,111.44,2423.04
20,15.61,92.04,7.65,2514.82,107.65,2622.47
21,15.91,90.62,7.64,2390.54,106.53,2497.07
22,15.14,91.14,9.75,2324.12,106.28,2430.40
23,18.24,101.10,7.01,2001.93,119.34,2121.27
24,20.36,93.34,7.16,2502.62,113.70,2616.32
25,14.88,90.66,7.53,2227.00,105.54,2332.54
26,20.07,87.29,7.75,2075.76,107.35,2183.11
27,21.99,92.39,6.89,2164.49,114.39,2278.87
28,17.66,84.77,6.80,2639.79,102.44,2742.22
29,16.13,85.99,7.30,2336.11,102.11,2438.22
30,17.12,85.25,6.92,2247.00,102.37,2349.37
31,21.78,93.29,6.96,2390.70,115.07,2505.77
32,16.88,92.32,8.35,2461.87,109.20,2571.06
33,21.70,92.34,7.27,2128.22,114.04,2242.27
34,16.56,88.19,6.94,2608.49,104.75,2713.23
35,15.47,90.20,6.67,2186.51,105.67,2292.18
36,19.90,86.58,7.31,2312.83,106.48,2419.31
37,17.68,91.98,7.45,2339.84,109.66,2449.50
38,21.70,94.27,6.89,2492.24,115.96,2608.20
